Account Name,Account ID,Added to marketo data update flow,Google Review URL,Funeral Home Logos URL,Facebook Page URL,,Final FB Reviews URL,Notes,URL Param/ client code,Core RG URL,Alternate RG URL Core,,Client Review Gateway URL,Alternate (Alias URL),,Survey URL,,Start Start Lead Import Info →,,GWLW- Contact Name,GWLW - Contact ID,GWLW - User ID,Landing Pg Campaign ID,Source,,GWLW Signup URL Core,Client GWLW Signup URL,,RG- Contact Name,RG - Contact ID,RG- User ID,Source,Survey core URL
Caldwell Parrish Funeral Home & Crematory - McCalley Chapel,0010B00001v81dp,FALSE,https://search.google.com/local/writereview?placeid=ChIJj8kfxDA57IcRErCHLAMDgSI,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell%20Parrish%20Logo.jpg,https://www.facebook.com/caldwellparrish,/reviews/,https://www.facebook.com/caldwellparrish/reviews/,,8,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=8,https://review.funeralservicesurvey.com/reviews.html?client_code=8,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=8,,,,Shannon Heinen,0034O00002sYz2X,0054O0000091SbT,701U0000001EM5e,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=8,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Caldwell Parrish Funeral Home & Crematory - Urbandale,001U000001e84IX,FALSE,https://search.google.com/local/writereview?placeid=ChIJ6TfeSg-e7ocRF0e_1kfQA90,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell%20Parrish%20Logo.jpg,https://www.facebook.com/caldwellparrish,/reviews/,https://www.facebook.com/caldwellparrish/reviews/,,9,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=9,https://review.funeralservicesurvey.com/reviews.html?client_code=9,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=9,,,,Shannon Heinen,0034O00002sYz2X,0054O0000091SbT,701U0000001EM5e,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=9,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Caldwell Parrish Funeral Home & Crematory - Winterset Chapel,0010B00001v81fH,FALSE,https://search.google.com/local/writereview?placeid=ChIJl7jg3o0N7IcRg4V-BmauStk,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell%20Parrish%20Logo.jpg,https://www.facebook.com/caldwellparrish,/reviews/,https://www.facebook.com/caldwellparrish/reviews/,,10,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=10,https://review.funeralservicesurvey.com/reviews.html?client_code=10,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=10,,,,Shannon Heinen,0034O00002sYz2X,0054O0000091SbT,701U0000001EM5e,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=10,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Canale Funeral Directors- Memphis,001U000000fjjZS,FALSE,https://search.google.com/local/writereview?placeid=ChIJafnmp8-Af4gRf5J-MHBN0mw,https://info.preplanafuneral.com/rs/852-LNK-689/images/Canale%20Logo.jpg,https://www.facebook.com/canalefuneraldirectors,/reviews/,https://www.facebook.com/canalefuneraldirectors/reviews/,,194,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=194,https://review.funeralservicesurvey.com/reviews.html?client_code=194,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=194,,,,Larry Thompson,0030B00002D6kMD,0054O000006tjYr,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=194,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Casey and Rios Funeral Home - Chicago,0014O000025olIoQAI,FALSE,https://search.google.com/local/writereview?placeid=ChIJCQ0VqdzND4gRu6f4h-43_P4,https://info.preplanafuneral.com/rs/852-LNK-689/images/Casey%20%26%20Rios%20logo.png,,/reviews/,,No fb page,119,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=119,https://review.funeralservicesurvey.com/reviews.html?client_code=119,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=119,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=119,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Christy-Smith Funeral Homes- Sioux City,0010B000024bWcM,FALSE,https://search.google.com/local/writereview?placeid=ChIJwUI20Df8jYcRg6F61j0m4Go,https://info.preplanafuneral.com/rs/852-LNK-689/images/Christy-Smith%20Logo.jpg,https://www.facebook.com/Christy-Smith-Funeral-Homes-258889704213304,/reviews/,https://www.facebook.com/Christy-Smith-Funeral-Homes-258889704213304/reviews/,,195,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=195,https://review.funeralservicesurvey.com/reviews.html?client_code=195,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=195,,,,Kelly Hines Eckhoff,0034O00002TFCSQ,0054O000006tjYm,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=195,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Clay-Barnette Funeral Home - Kings Mountain,0010B000024cD6XQAU,FALSE,https://search.google.com/local/writereview?placeid=ChIJNf2m2urnVogRKR1CCSwksuI,https://info.preplanafuneral.com/rs/852-LNK-689/images/Clay-Barnette%20logo.png,https://www.facebook.com/Clay-Barnette-Funeral-Home-of-Kings-Mountain-103729575416876,/reviews/,https://www.facebook.com/Clay-Barnette-Funeral-Home-of-Kings-Mountain-103729575416876/reviews/,,120,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=120,https://review.funeralservicesurvey.com/reviews.html?client_code=120,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=120,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=120,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Clay-Barnette Funeral Home - Shelby,001U000000oZPJtIAO,FALSE,https://search.google.com/local/writereview?placeid=ChIJ3TihksshV4gRXVwuov1iKec,https://info.preplanafuneral.com/rs/852-LNK-689/images/Clay-Barnette%20logo.png,https://www.facebook.com/claybarnettefh,/reviews/,https://www.facebook.com/claybarnettefh/reviews/,,121,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=121,https://review.funeralservicesurvey.com/reviews.html?client_code=121,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=121,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=121,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Cleveland Moffett Funeral Home- Amory ,001U000001cWK2w,FALSE,https://search.google.com/local/writereview?placeid=ChIJ94qYfrIih4gRpcp76xcx1ZY,https://info.preplanafuneral.com/rs/852-LNK-689/images/Cleveland%20Moffett%20Logo.png,https://www.facebook.com/profile.php?id=100057480639956,/reviews/,https://www.facebook.com/profile.php?id=100057480639956&sk=reviews,,66,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=66,https://review.funeralservicesurvey.com/reviews.html?client_code=66,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=66,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=66,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Coile and Hall Funeral Home- Hartwell,0010B0000208xhI,FALSE,https://search.google.com/local/writereview?placeid=ChIJB3RZW4uAWIgR9CmZIhsYBLQ,https://info.preplanafuneral.com/rs/852-LNK-689/images/C%26H%20LOGO%20Jpeg.jpg,https://www.facebook.com/CoileandHallFuneralDirectors,/reviews/,https://www.facebook.com/CoileandHallFuneralDirectors/reviews/,,67,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=67,https://review.funeralservicesurvey.com/reviews.html?client_code=67,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=67,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=67,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
